id,place,rocks,            latitude,longitude
45,Bolivia,"Granite, Granodiorite, Basalt, Dolerite, Porphyry, Lamprophyre, Kimberlite, Agglomerate, Pyroclastic-breccia, Tuff, Pegmatite, Red bed, Sandstone, Mudstone, Petrified Wood, Pisolite, Limestone, Dolostone, Diatomite, Chert, Grainstone, Metasandstone, Metadiamictite, Schist, Laterite",-17.0568696,-64.9912286
46,Borneo,"Granite, Granodiorite, Tonalite, Diorite, Dolerite, Ophiolite, Porphyry, Volcanic breccia, Sediment, Sedimentary rock, Gneiss, Schist",1.4297828,114.7410413
47,Bosnia and Herzegov,"Gabbro, Peridotite, Basalt, Dolerite, Ophiolite, Glassy igneous rock, Pyroclastic-rock, Pegmatite, Sandstone, Mudstone, Limestone, Dolostone, Schist",44.3053476,17.5961467
48,Botswana,"Granitoid, Rhyolite, Dolerite, Pegmatite, Red bed, Sandstone, Mudstone, Limestone, Dolostone, Quartzite, Amphibolite, Gneiss, Schist, Gossan",-23.1681782,24.5928742
49,Brazil,"Mafic rock, Granitoid, Syenitoid, Dioritoid, Monzogabbro, Gabbro, Nepheline-syenite, Shonkinite, Peridotite, Pyroxenite, Hornblendite, Aplite, Ultramafic-rock, Dolerite, Ophiolite, Porphyry, Carbonatite, Lamprophyre, Kimberlite, Phoscorite, Chromitite, Magnetitite, Cumulate, Kamafugite, Pyroclastic-rock, Volcanic breccia, Pegmatite, Gravel, Conglomerate, Sandstone, Mudstone, Petrified Wood, Pisolite, Limestone, Dolostone, Ironstone, Diatomite, Chert, Meteorite, Laterite, Regolith, Duricrust, Alluvial deposit, Lacustrine deposi",-10.3333333,-53.2
50,British and Irish Isles,"Iron ore, granite, granodiorite, quartz-syenite, syenite, monzonite, monzodiorite, diorite, gabbro, nepheline-syenite, shonkinite, teschenite, peridotite, pyroxenite, hornblendite, aplite, ferrodiorite, skomerite, rhyolite, quartz-trachyte, trachybasalt, trachyte, nephelinite, basaltoid, basanite, felsite, dolerite, ophiolite, porphyry, carbonatite, lamprophyre, kimberlite, pyroclastic sediment, agglomerate, tuff, welded tuff, pegmatite, sand, conglomerate, sedimentary breccia, sandstone, mudstone, oolite, petrified wood, anhydrite-stone, halite-stone, ironstone, coal, porcellanite, chert, killas, granulite, amphibolite, slate, phyllite, spilite, greenschist, greenstone, gneiss, marble, calc-silicate rock, schist, hornfels, breccia, laterite",49,10
51,British Virgin Islands,"Iron ore, granite, granodiorite, quartz-syenite, syenite, monzonite, monzodiorite, diorite, gabbro, nepheline-syenite, shonkinite, teschenite, peridotite, pyroxenite, hornblendite, aplite, ferrodiorite, skomerite, rhyolite, quartz-trachyte, trachybasalt, trachyte, nephelinite, basaltoid, basanite, felsite, dolerite, ophiolite, porphyry, carbonatite, lamprophyre, kimberlite, pyroclastic sediment, agglomerate, tuff, welded tuff, pegmatite, sand, conglomerate, sedimentary breccia, sandstone, mudstone, oolite, petrified wood, anhydrite-stone, halite-stone, ironstone, coal, porcellanite, chert, killas, granulite, amphibolite, slate, phyllite, spilite, greenschist, greenstone, gneiss, marble, calc-silicate rock, schist, hornfels, breccia, laterite",18.4024395,-64.5661642
52,Brunei,"Iron ore, granite, granodiorite, quartz-syenite, syenite, monzonite, monzodiorite, diorite, gabbro, nepheline-syenite, shonkinite, teschenite, peridotite, pyroxenite, hornblendite, aplite, ferrodiorite, skomerite, rhyolite, quartz-trachyte, trachybasalt, trachyte, nephelinite, basaltoid, basanite, felsite, dolerite, ophiolite, porphyry, carbonatite, lamprophyre, kimberlite, pyroclastic sediment, agglomerate, tuff, welded tuff, pegmatite, sand, conglomerate, sedimentary breccia, sandstone, mudstone, oolite, petrified wood, anhydrite-stone, halite-stone, ironstone, coal, porcellanite, chert, killas, granulite, amphibolite, slate, phyllite, spilite, greenschist, greenstone, gneiss, marble, calc-silicate rock, schist, hornfels, breccia, laterite",4.4137155,114.5653908
53,Bulgaria,"Granitoid, quartz-syenite, syenite, quartz-monzonite, monzonite, dunite, pyroxenite, aplite, banatite, andesite-basalt, trachyandesite, latite, trachybasalt, trachyte, basalt, basanite, phonolitic-tephrite, tephrite, dolerite, ophiolite, porphyry, carbonatite, lamproite, chromitite, glassy igneous rock, tuff, tuff-breccia, tuffite, volcanic breccia, pegmatite, sediment, sandstone, petrified wood, limestone, dolostone, chert, calc-schist, serpentinite, gneiss, schist, metasomatic-rock, meteorite",42.6073975,25.4856617
54,Burkina Faso,"Granitoid, basalt, porphyry, pegmatite, sandstone, amphibolite, gneiss, schist, diogenite meteorite",12.0753083,-1.6880314
55,Burma Plate,"Quartz-diorite, diorite, peridotite, pyroxenite, basalt, porphyry, volcanic breccia, mudstone, wackestone",21.8846055,95.9858163
56,Burundi,"Granite, S-type granite, gabbro, aplite, dolerite, porphyry, carbonatite, pegmatite, gneiss, cataclasite",-3.426449,29.9324519
57,Cambodia,"Basaltic-trachyandesite, Trachybasalt, Petrified Wood, Basalt",12.5433216,104.8144914
58,Cameroon,"Granitoid, quartz-syenite, syenite, monzonite, gabbro, peridotite, pyroxenite, rhyolite, trachyte, nephelinite, basalt, basanite, tephrite, basanite, porphyry, tuff, pegmatite, ironstone, granulite, amphibolite, gneiss, schist, meteorite",4.6125522,13.1535811
59,Canada,"Iron ore, igneous rock, sediment, sedimentary rock, metamorphic rock, breccia, meteorite, regolith, gossan",61.0666922,-107.991707
60,Cape Verde,Igneous rock,16.0000552,-24.0083947
61,Central Africa,"Granodiorite, tonalite, dolerite, ophiolite, porphyry, glassy igneous rock, pyroclastic-rock, volcanic breccia, sediment, sedimentary rock, metasedimentary rock, eclogite, blueschist, amphibolite, schist, skarn, laterite, duricrust",-25.3579401,-57.5835295
62,Central African Repub,"Granitoid, syenite, quartz-monzonite, monzonite, gabbro, pyroxenite, aplite, andesite-basalt, felsite, dolerite, porphyry, pyroclastic-rock, tuffite, volcanic breccia, pegmatite, conglomerate, sandstone, mudstone, petrified wood, phosphorite, chert, volcaniclastic rock, porphyroid, parabasalt, metamudstone, amphibolite, gneiss, schist, hornfels, metasomatic-rock",7.0323998,19.9981227
63,Central America,"Mudstone, Ironstone, Grainstone, Wackestone, Packstone",-30.2928485,153.1256159
64,Chad,"Granitoid, syenite, quartz-monzonite, monzonite, gabbro, pyroxenite, aplite, andesite-basalt, felsite, dolerite, porphyry, pyroclastic-rock, tuffite, volcanic breccia, pegmatite, conglomerate, sandstone, mudstone, petrified wood, phosphorite, chert, volcaniclastic rock, porphyroid, parabasalt, metamudstone, amphibolite, gneiss, schist, hornfels, metasomatic-rock",15.6134137,19.0156172
65,Channel Islands,"Granodiorite, peridotite, dolerite, ophiolite, porphyry, pyroclastic sediment, lapilli-tuff, pyroclastic-breccia, tuff, welded tuff, volcanic breccia, sediment, sedimentary rock, metasedimentary rock, jade, eclogite, blueschist, amphibolite, schist, skarn, albitite, hydrothermal breccia, laterite",49.2123066,-2.1256
66,Chile,"Granite, foid-gabbro, rhyolite, basalt, tuff, metagabbro, serpentinite, gneiss, schist, metasomatic-rock",-31.7613365,-71.3187697
67,China,"Copper ore, gold ore, iron ore, igneous rock, sediment, sedimentary rock, metamorphic rock, L3 chondrite meteorite, L4 chondrite meteorite, L5 chondrite meteorite, L6 chondrite meteorite, IIIAB iron meteorite, IIIE iron meteorite, IVA iron meteorite, mesosiderite meteorite, iron meteorite, IAB complex iron meteorite, soil, laterite, regolith, aeolian deposit, alluvial deposit, lacustrine deposit",35.0000663,104.999955
68,Cocos Plate,Gabbroid,15,95
69,Colombia,"Granitoid, Peridotite, Porphyry, Pegmatite, Conglomerate, Sandstone, Mudstone, Phosphorite, Gneiss, Marble, Schist, Skarn, Hydrothermal breccia",4.099917,-72.9088133
70,Comoro Islands,"Peridotite, Trachyte, Phonolite, Basalt, Basanite, Tephrite",-12.2265681,44.4107049
71,Comoros,"Peridotite, Trachyte, Phonolite, Basalt, Basanite",-12.2045176,44.2832964
72,Conway Reef Plate,"Nickel ore, Tonalite, Diorite, Gabbroid, Peridotite, Pyroxenite, Hornblendite, Basalt, Dolerite, Ophiolite, Porphyry, Tuffite, Pegmatite, Sandstone, Mudstone, Pisolite, Limestone, Radiolarite, Tectonite, Jade, Zoisitite, Blueschist, Amphibolite, Gneiss, Schist, Laterite",-21.4418,174.6373
73,Cook Islands,"Trachyte, Foidite, Basalt, Basanite, Picrobasalt",-19.9969716,-157.7858714
74,Costa Rica,"Peridotite, Ophiolite, Pyroclastic sediment, Volcanic breccia, Sandstone, Mudstone, Petrified Wood, Diatomite, Chert",10.2735633,-84.0739102
75,Croatia,"Carbonate rock, Grainstone, Wackestone, Packstone, Bauxite, Palaeosol, Regolith",45.3658443,15.6572058
